quote,year,country,age,state,visa,occupation
"When someone comes on a temporary visa. There is so much pressure on them. Everything is new, new system, new language, different culture, finding accomodation and high rental expenses needed from day one. Studies and settling in. So requirement of job from the first day is very important otherwise you can't survive. So, potentially what happens is someone in this situation accepts anything that is being offered because of expenses and need of money. That is where some employers come and exploit this situation and pay very less and sometimes make people work more than they are allowed to.",2022,Pakistan,"28 years old",QLD,"Student Visa (500)","Chef / kitchen hand,Petrol station attendant  ,Rideshare/ delivery driver in car (e.g., Uber, Menulog) or taxi driver,Car wash worker"
"They treat u like trash",2024,Bangladesh,"20 years old",NSW,"Student Visa (500)","Hospitality (waiter/food server/barrista/bartender),Chef / kitchen hand,Fast food worker"
"There are a lot of employers who abuse temporary visa holders and work in poor conditions.",2017,India,"29 years old",NSW,"Student Visa (500)","Fast food worker,Childcare centre worker"
"There is a barely practical implementation of worker rights in Australia. Despite of many regulations and overseeing body like ombudsmen but in reality, even in the most pronounce and big fast-food restaurants they still treat the workers injusticely. There are no big consequences for the chain food owners about their treatment of the workers.",2023,Indonesia,"27 years old",NSW,"Student Visa (500)","Hospitality (waiter/food server/barrista/bartender),Chef / kitchen hand,Fast food worker,Cleaner (commercial)"
"They treat you like shit. I stayed 5 months in Australia and I started to disgust Australia, because people are just rough. They also let too many people in, so employers currently think they can do whatever they want. I heard from people contacting fairwork and they never get back to them, because too busy. I got paid a part yime rate, while I was obviously a casual worker and they didn't arrange their stuff well. I also worked a few days at a dairy farm and that was terrible, feels like modern slavery. I am done with Australia, because I don't feel like finding sbit jobs to get treated like shit. People in general are unfriendly I think.",2024,Netherlands,"29 years old","I have left Australia","Working Holiday Visa (417) or Work and Holiday Visa (462)","Hospitality (waiter/food server/barrista/bartender),Chef / kitchen hand"
"The condition of migrants are not great, due to visa policies and specially when people work for job ready or sponsorship visas- for their PR pathway. That is where employers ill treat and misuse them. Frankly the system should interview the person rather than paper work from employers/ or their support. They ill treat you, sexual comments and what not. Being female is not easy, they will body shame, age shame you plus they will talk negative about a calibre of a women. Hospitality industry is worse because of visa conditions, that allows employers to mis use you completely. We work so hard, slog our a.... , we work whole heartedly and then the government tells you to leave, not fair. There are bundle of loop holes in the system, which certainly goes off due to migrant situations. You may see from the data, where You find Australians/ PRs reporting more of wage thefts, rather than students or temporary migrants.",2017,India,"42 years old",VIC,"Student Visa (500)","Chef / kitchen hand"
"Temporary visa workers are exploited and tossed aside once their visa runs out. My employer told me they wanted to promote me to manager and sponsor me, but it was all just a show so they could quickly get someone to do the manager's job for cheap coordinator pay. Shortly before my visa was about to expire, my employer claimed the manager's role was being made redundant and they tried to unlawfully terminate my employment with immediate effect despite the fact I was officially employed as the coordinator, not the manager, of the department.",2019,Singapore,"34 years old",NSW,"Temporary Activity visa (408 visa) (COVID visa)",
"some people dont care about the worker and they treat their worker as a servant",2024,Nepal,"19 years old",VIC,"Student Visa (500)","Chef / kitchen hand,Cleaner (commercial)"
"""Systemically, visas in Australia are designed like a cast-system that makes it easy for migrants to be abused by employers with little to no consequence for perpetrators.""",2017,Paraguay,,ACT,"Skilled Work Regional (Provisional) visa (491)","Hospitality (waiter/food server/barrista/bartender),Chef / kitchen hand,Retail/shop/sales worker (including convenience store or supermarket),Delivery rider on bike ,Rideshare/ delivery driver in car (e.g., Uber, Menulog) or taxi driver,Administration worker ,Professional (including academic and teaching)  or technical services"
"I feel that employers abuse their power and just by offering work they think they can shout, offend and humiliate foreign employees. I have had several problems with my employers due to their poor treatment and the only solution I had was to resign and look for another job.",2022,Colombia,"28 years old",NSW,"Student Visa (500)","Delivery rider on bike ,Cleaner (commercial)  ,Cleaner (private house)  ,Factory/warehouse/packing worker ,Construction worker (including painter, other labourer) ,Other. Please provide details."
